act_id,article_id
CONST_1950,CONST_1950_Art21A
CONST_1950,CONST_1950_Art29
CONST_1950,CONST_1950_Art30
CONST_1950,CONST_1950_Art31A
CONST_1950,CONST_1950_Art31B
CONST_1950,CONST_1950_Art31C
CONST_1950,CONST_1950_Art33
CONST_1950,CONST_1950_Art35
CONST_1950,CONST_1950_Art36
CONST_1950,CONST_1950_Art37
CONST_1950,CONST_1950_Art38
CONST_1950,CONST_1950_Art39
CONST_1950,CONST_1950_Art39A
CONST_1950,CONST_1950_Art40
CONST_1950,CONST_1950_Art43A
CONST_1950,CONST_1950_Art43B
CONST_1950,CONST_1950_Art44
CONST_1950,CONST_1950_Art46
CONST_1950,CONST_1950_Art47
CONST_1950,CONST_1950_Art48
CONST_1950,CONST_1950_Art48A
CONST_1950,CONST_1950_Art49
CONST_1950,CONST_1950_Art50
CONST_1950,CONST_1950_Art51
CONST_1950,CONST_1950_Art51A
CONST_1950,CONST_1950_Art52
CONST_1950,CONST_1950_Art53
CONST_1950,CONST_1950_Art54
CONST_1950,CONST_1950_Art55
CONST_1950,CONST_1950_Art56
CONST_1950,CONST_1950_Art57
CONST_1950,CONST_1950_Art58
CONST_1950,CONST_1950_Art59
CONST_1950,CONST_1950_Art60
CONST_1950,CONST_1950_Art61
CONST_1950,CONST_1950_Art62
CONST_1950,CONST_1950_Art63
CONST_1950,CONST_1950_Art64
CONST_1950,CONST_1950_Art65
CONST_1950,CONST_1950_Art66
CONST_1950,CONST_1950_Art67
CONST_1950,CONST_1950_Art68
CONST_1950,CONST_1950_Art69
CONST_1950,CONST_1950_Art70
CONST_1950,CONST_1950_Art71
CONST_1950,CONST_1950_Art72
CONST_1950,CONST_1950_Art73
CONST_1950,CONST_1950_Art74
CONST_1950,CONST_1950_Art75
CONST_1950,CONST_1950_Art76
CONST_1950,CONST_1950_Art77
CONST_1950,CONST_1950_Art78
CONST_1950,CONST_1950_Art79
CONST_1950,CONST_1950_Art80
CONST_1950,CONST_1950_Art81
CONST_1950,CONST_1950_Art82
CONST_1950,CONST_1950_Art83
CONST_1950,CONST_1950_Art84
CONST_1950,CONST_1950_Art85
CONST_1950,CONST_1950_Art86
CONST_1950,CONST_1950_Art87
CONST_1950,CONST_1950_Art88
CONST_1950,CONST_1950_Art89
CONST_1950,CONST_1950_Art90
CONST_1950,CONST_1950_Art91
CONST_1950,CONST_1950_Art92
CONST_1950,CONST_1950_Art93
CONST_1950,CONST_1950_Art94
CONST_1950,CONST_1950_Art95
CONST_1950,CONST_1950_Art96
CONST_1950,CONST_1950_Art97
CONST_1950,CONST_1950_Art98
CONST_1950,CONST_1950_Art99
CONST_1950,CONST_1950_Art100
CONST_1950,CONST_1950_Art101
CONST_1950,CONST_1950_Art103
CONST_1950,CONST_1950_Art104
CONST_1950,CONST_1950_Art105
CONST_1950,CONST_1950_Art106
CONST_1950,CONST_1950_Art107
CONST_1950,CONST_1950_Art108
CONST_1950,CONST_1950_Art109
CONST_1950,CONST_1950_Art110
CONST_1950,CONST_1950_Art111
CONST_1950,CONST_1950_Art112
CONST_1950,CONST_1950_Art113
CONST_1950,CONST_1950_Art114
CONST_1950,CONST_1950_Art115
CONST_1950,CONST_1950_Art116
CONST_1950,CONST_1950_Art117
CONST_1950,CONST_1950_Art118
CONST_1950,CONST_1950_Art119
CONST_1950,CONST_1950_Art120
CONST_1950,CONST_1950_Art121
CONST_1950,CONST_1950_Art122
CONST_1950,CONST_1950_Art123
CONST_1950,CONST_1950_Art124
CONST_1950,CONST_1950_Art124A
CONST_1950,CONST_1950_Art124B
CONST_1950,CONST_1950_Art124C
CONST_1950,CONST_1950_Art125
CONST_1950,CONST_1950_Art126
CONST_1950,CONST_1950_Art127
CONST_1950,CONST_1950_Art128
CONST_1950,CONST_1950_Art129
CONST_1950,CONST_1950_Art130
CONST_1950,CONST_1950_Art131
CONST_1950,CONST_1950_Art132
CONST_1950,CONST_1950_Art133
CONST_1950,CONST_1950_Art134
CONST_1950,CONST_1950_Art134A
CONST_1950,CONST_1950_Art136
CONST_1950,CONST_1950_Art138
CONST_1950,CONST_1950_Art139
CONST_1950,CONST_1950_Art139A
CONST_1950,CONST_1950_Art140
CONST_1950,CONST_1950_Art142
CONST_1950,CONST_1950_Art144
CONST_1950,CONST_1950_Art145
CONST_1950,CONST_1950_Art146
CONST_1950,CONST_1950_Art147
CONST_1950,CONST_1950_Art148
CONST_1950,CONST_1950_Art149
CONST_1950,CONST_1950_Art150
CONST_1950,CONST_1950_Art151
CONST_1950,CONST_1950_Art152
CONST_1950,CONST_1950_Art156
CONST_1950,CONST_1950_Art157
CONST_1950,CONST_1950_Art161
CONST_1950,CONST_1950_Art162
CONST_1950,CONST_1950_Art163
CONST_1950,CONST_1950_Art165
CONST_1950,CONST_1950_Art166
CONST_1950,CONST_1950_Art167
CONST_1950,CONST_1950_Art168
CONST_1950,CONST_1950_Art169
CONST_1950,CONST_1950_Art170
CONST_1950,CONST_1950_Art171
CONST_1950,CONST_1950_Art172
CONST_1950,CONST_1950_Art173
CONST_1950,CONST_1950_Art174
CONST_1950,CONST_1950_Art175
CONST_1950,CONST_1950_Art176
CONST_1950,CONST_1950_Art177
CONST_1950,CONST_1950_Art178
CONST_1950,CONST_1950_Art179
CONST_1950,CONST_1950_Art180
CONST_1950,CONST_1950_Art181
CONST_1950,CONST_1950_Art182
CONST_1950,CONST_1950_Art183
CONST_1950,CONST_1950_Art184
CONST_1950,CONST_1950_Art185
CONST_1950,CONST_1950_Art186
CONST_1950,CONST_1950_Art187
CONST_1950,CONST_1950_Art188
CONST_1950,CONST_1950_Art189
CONST_1950,CONST_1950_Art190
CONST_1950,CONST_1950_Art192
CONST_1950,CONST_1950_Art193
CONST_1950,CONST_1950_Art194
CONST_1950,CONST_1950_Art195
CONST_1950,CONST_1950_Art196
