index_id,short_title,year,act_number,category
IDX_0_ALPHABETICAL_LIST_OF_CENTRAL_A,ALPHABETICAL LIST OF CENTRAL ACTS,0,,General
IDX_0_Name_of_the_Act,Name of the Act,0,,General
IDX_0_Aadhaar__Targeted_Delivery_of_,"Aadhaar (Targeted Delivery of Financial and other subsidies, benefits
and Services) Act",2016,18,General
IDX_0_Academy_of_Scientific_and_Inno,Academy of Scientific and Innovative Research Act,2012,13,General
IDX_0_Acquired_Territories__Merger__,Acquired Territories (Merger) Act,1960,64,General
IDX_0_Acquisition_of_Certain_Area_at,Acquisition of Certain Area at Ayodhya Act,1993,33,General
IDX_0_Actuaries_Act,Actuaries Act,2006,35,General
IDX_0_Administrative_Tribunals_Act,Administrative Tribunals Act,1985,13,General
IDX_0_Administrators_General_Act,Administrators-General Act,1963,45,General
IDX_0_Admiralty__Jurisdiction_and_Se,Admiralty (Jurisdiction and Settlement of Maritime Claims) Act,2017,22,General
IDX_0_Advocates_Act,Advocates Act,1961,25,General
IDX_0_Advocates__Welfare_Fund_Act,Advocates’ Welfare Fund Act,2001,45,General
IDX_0_African_Development_Bank_Act,African Development Bank Act,1983,13,General
IDX_0_African_Development_Fund_Act,African Development Fund Act,1982,1,General
IDX_0_Agricultural_Produce__Grading_,Agricultural Produce (Grading and Marking) Act,1937,1,General
IDX_0_Agriculture_land_Processed_Foo,"Agriculture land Processed Food Products Export Development
Authority Act",1986,2,General
IDX_0_Agriculturists__Loans_Act,Agriculturists' Loans Act,1884,12,General
IDX_0_Airports_Authority_of_India_Ac,Airports Authority of India Act,1994,55,General
IDX_0_Airports_Economic_Regulatory_A,Airports Economic Regulatory Authority of India Act,2008,27,General
IDX_0_Air_Force_Act,Air Force Act,1950,45,General
IDX_0_Air__Prevention_and_Control_of,Air (Prevention and Control of Pollution) Act,1981,14,General
IDX_0_Ajmer_Tenancy_and_Land_Records,Ajmer Tenancy and Land Records Act,1950,42,General
IDX_0_Aligarh_Muslim_University_Act,Aligarh Muslim University Act,1920,40,General
IDX_0_All_India_Council_for_Technica,All-India Council for Technical Education Act,1987,52,General
IDX_0_All_India_Institute_of_Medical,All-India Institute of Medical Sciences Act,1956,25,General
IDX_0_All_India_Services_Act,All-India Services Act,1951,61,General
IDX_0_Anand_Marriage_Act,Anand Marriage Act,1909,7,General
IDX_0_Ancient_Monuments_and_Archaeol,Ancient Monuments and Archaeological Sites and Remains Act,1958,24,General
IDX_0_Ancient_Monuments_Preservation,Ancient Monuments Preservation Act,1904,7,General
IDX_0_Andhra_Pradesh_Legislative_Cou,Andhra Pradesh Legislative Council Act,2006,1,General
IDX_0_Andhra_Pradesh_and_Madras__Alt,Andhra Pradesh and Madras (Alteration of Boundaries) Act,1959,56,General
IDX_0_Andhra_Pradesh_and_Mysore__Tra,Andhra Pradesh and Mysore (Transfer of Territory) Act,1968,36,General
IDX_0_Andhra_Pradesh_Reorganisation_,Andhra Pradesh Reorganisation Act,2014,6,General
IDX_0_Andhra_State_Act,Andhra State Act,1953,30,General
IDX_0_Anusandhan_National_Research_F,Anusandhan National Research Foundation Act,2023,25,General
IDX_0_Anti_Apartheid__United_Nations,Anti-Apartheid (United Nations Convention) Act,1981,48,General
IDX_0_Anti_Hijacking_Act,Anti-Hijacking Act,2016,30,General
IDX_0_Antiquities_and_Art_Treasures_,Antiquities and Art Treasures Act,1972,52,General
IDX_0_Apprentices_Act,Apprentices Act,1961,52,General
IDX_0_Arbitration_and_Conciliation_A,Arbitration and Conciliation Act,1996,26,Civil Procedure
IDX_0_Architects_Act,Architects Act,1972,20,General
IDX_0_Armed_Forces__Emergency_Duties,Armed Forces (Emergency Duties) Act,1947,15,General
IDX_0_Armed_Forces__Jammu_and_Kashmi,Armed Forces (Jammu and Kashmir) Special Powers Act,1990,21,General
IDX_0_Armed_Forces__Punjab_and_Chand,Armed Forces (Punjab and Chandigarh) Special Powers Act,1983,34,General
IDX_0_Armed_Forces__Special_Powers__,Armed Forces (Special Powers) Act,1958,28,General
IDX_0_Armed_Forces_Tribunal_Act,Armed Forces Tribunal Act,2007,55,General
IDX_0_Unknown,Unknown,1959,54,General
IDX_0_Unknown,Unknown,1950,46,General
IDX_0_Army_and_Air_Force__Disposal_o,Army and Air Force (Disposal of Private Property) Act,1950,40,General
IDX_0_Arya_Marriage_Validation_Act,Arya Marriage Validation Act,1937,19,General
IDX_0_Asian_Development_Bank_Act,Asian Development Bank Act,1966,18,General
IDX_0_Asiatic_Society_Act,Asiatic Society Act,1984,5,General
IDX_0_Assam__Alteration_of_Boundarie,Assam (Alteration of Boundaries) Act,1951,47,General
IDX_0_Assam_Reorganisation__Meghalay,Assam Reorganisation (Meghalaya)Act,1969,55,General
IDX_0_Assam_Rifles_Act,Assam Rifles Act,2006,47,General
IDX_0_Assam_University_Act,Assam University Act,1989,23,General
IDX_0_Assisted_Reproductive_Technolo,Assisted Reproductive Technology (Regulation) Act,2021,42,General
IDX_0_Atomic_Energy_Act,Atomic Energy Act,1962,33,General
IDX_0_Auroville_Foundation_Act,Auroville Foundation Act,1988,54,General
IDX_0_Authoritative_Texts__Central_L,Authoritative Texts (Central Laws) Act,1973,50,General
IDX_0_Baba_saheb_Bhimrao_Ambedkar_Un,Baba saheb Bhimrao Ambedkar University Act,1994,58,General
IDX_0_Banaras_Hindu_University_Act,Banaras Hindu University Act,1915,16,General
IDX_0_Bankers__Books_Evidence_Act,Bankers' Books Evidence Act,1891,18,General
IDX_0_Banking_Companies__Acquisition,Banking Companies (Acquisition and Transfer of Undertakings) Act,1970,5,General
IDX_0_Banking_Companies__Acquisition,Banking Companies (Acquisition and Transfer of Undertakings) Act,1980,40,General
