chapter_id,section_id
BNS_2023_CH_I,BNS_2023_s1
BNS_2023_CH_I,BNS_2023_s2
BNS_2023_CH_I,BNS_2023_s1
BNS_2023_CH_II,BNS_2023_s4
BNS_2023_CH_II,BNS_2023_s5
BNS_2023_CH_II,BNS_2023_s6
BNS_2023_CH_II,BNS_2023_s7
BNS_2023_CH_II,BNS_2023_s8
BNS_2023_CH_II,BNS_2023_s9
BNS_2023_CH_II,BNS_2023_s10
BNS_2023_CH_II,BNS_2023_s11
BNS_2023_CH_II,BNS_2023_s12
BNS_2023_CH_II,BNS_2023_s13
BNS_2023_CH_III,BNS_2023_s14
BNS_2023_CH_III,BNS_2023_s15
BNS_2023_CH_III,BNS_2023_s16
BNS_2023_CH_III,BNS_2023_s17
BNS_2023_CH_III,BNS_2023_s18
BNS_2023_CH_III,BNS_2023_s19
BNS_2023_CH_III,BNS_2023_s20
BNS_2023_CH_III,BNS_2023_s21
BNS_2023_CH_III,BNS_2023_s22
BNS_2023_CH_III,BNS_2023_s23
BNS_2023_CH_III,BNS_2023_s24
BNS_2023_CH_III,BNS_2023_s25
BNS_2023_CH_III,BNS_2023_s26
BNS_2023_CH_III,BNS_2023_s27
BNS_2023_CH_III,BNS_2023_s28
BNS_2023_CH_III,BNS_2023_s32
BNS_2023_CH_III,BNS_2023_s33
BNS_2023_CH_III,BNS_2023_s34
BNS_2023_CH_III,BNS_2023_s35
BNS_2023_CH_III,BNS_2023_s36
BNS_2023_CH_III,BNS_2023_s37
BNS_2023_CH_III,BNS_2023_s38
BNS_2023_CH_III,BNS_2023_s39
BNS_2023_CH_III,BNS_2023_s40
BNS_2023_CH_III,BNS_2023_s41
BNS_2023_CH_III,BNS_2023_s42
BNS_2023_CH_III,BNS_2023_s43
BNS_2023_CH_III,BNS_2023_s44
BNS_2023_CH_IV,BNS_2023_s45
BNS_2023_CH_IV,BNS_2023_s46
BNS_2023_CH_IV,BNS_2023_s47
BNS_2023_CH_IV,BNS_2023_s48
BNS_2023_CH_IV,BNS_2023_s49
BNS_2023_CH_IV,BNS_2023_s50
BNS_2023_CH_IV,BNS_2023_s51
BNS_2023_CH_IV,BNS_2023_s52
