chapter_id,chapter_number,chapter_title,act_id,part_id
BNS_2023_CH_I,I,PRELIMINARY,BNS_2023,
BNS_2023_CH_II,II,OF PUNISHMENTS,BNS_2023,
BNS_2023_CH_III,III,GENERAL EXCEPTIONS,BNS_2023,
BNS_2023_CH_IV,IV,"OF ABETMENT, CRIMINAL CONSPIRACY AND ATTEMPT",BNS_2023,
BNS_2023_CH_V,V,OF OFFENCES AGAINST WOMAN AND CHILD,BNS_2023,
BNS_2023_CH_VI,VI,OF OFFENCES AFFECTING THE HUMAN BODY,BNS_2023,
BNS_2023_CH_VII,VII,OF OFFENCES AGAINST THE STATE,BNS_2023,
BNS_2023_CH_IX,IX,OF OFFENCES RELATING TO ELECTIONS,BNS_2023,
BNS_2023_CH_X,X,"OF OFFENCES RELATING TO COIN, CURRENCY-NOTES, BANK-NOTES, AND GOVERNMENT STAMPS",BNS_2023,
BNS_2023_CH_XI,XI,OF OFFENCES AGAINST THE PUBLIC TRANQUILLITY,BNS_2023,
BNS_2023_CH_XII,XII,OF OFFENCES BY OR RELATING TO PUBLIC SERVANTS,BNS_2023,
BNS_2023_CH_XIII,XIII,OF CONTEMPTS OF THE LAWFUL AUTHORITY OF PUBLIC SERVANTS,BNS_2023,
BNS_2023_CH_XIV,XIV,OF FALSE EVIDENCE AND OFFENCES AGAINST PUBLIC JUSTICE,BNS_2023,
BNS_2023_CH_XV,XV,"OF OFFENCES AFFECTING THE PUBLIC HEALTH, SAFETY, CONVENIENCE, DECENCY AND MORALS",BNS_2023,
BNS_2023_CH_XVI,XVI,OF OFFENCES RELATING TO RELIGION,BNS_2023,
BNS_2023_CH_XVII,XVII,OF OFFENCES AGAINST PROPERTY,BNS_2023,
BNS_2023_CH_XVIII,XVIII,OF OFFENCES RELATING TO DOCUMENTS AND TO PROPERTY MARKS,BNS_2023,
BNS_2023_CH_XIX,XIX,"OF CRIMINAL INTIMIDATION, INSULT, ANNOYANCE, DEFAMATION, ETC.",BNS_2023,
BNS_2023_CH_XX,XX,REPEAL AND SAVINGS,BNS_2023,
BNSS_2023_CH_I,I,PRELIMINARY,BNSS_2023,
BNSS_2023_CH_II,II,CONSTITUTION OF CRIMINAL COURTS AND OFFICES,BNSS_2023,
BNSS_2023_CH_XIII,XIII,requires any officer subordinate to him to arrest without a warrant (otherwise than in his presence) any,BNSS_2023,
BNSS_2023_CH_VI,VI,PROCESSES TO COMPEL APPEARANCE,BNSS_2023,
BNSS_2023_CH_IX,IX,SECURITY FOR KEEPING THE PEACE AND FOR GOOD BEHAVIOUR,BNSS_2023,
BNSS_2023_CH_XI,XI,MAINTENANCE OF PUBLIC ORDER AND TRANQUILLITY,BNSS_2023,
BNSS_2023_CH_XII,XII,PREVENTIVE ACTION OF THE POLICE,BNSS_2023,
BNSS_2023_CH_XIII,XIII,INFORMATION TO THE POLICE AND THEIR POWERS TO INVESTIGATE,BNSS_2023,
BNSS_2023_CH_XIV,XIV,JURISDICTION OF THE CRIMINAL COURTS IN INQUIRIES AND TRIALS,BNSS_2023,
BNSS_2023_CH_XVI,XVI,COMPLAINTS TO MAGISTRATES,BNSS_2023,
BNSS_2023_CH_XVII,XVII,COMMENCEMENT OF PROCEEDINGS BEFORE MAGISTRATES,BNSS_2023,
BNSS_2023_CH_XIX,XIX,TRIAL BEFORE A COURT OF SESSION,BNSS_2023,
BNSS_2023_CH_XX,XX,TRIAL OF WARRANT-CASES BY MAGISTRATES,BNSS_2023,
BNSS_2023_CH_XXI,XXI,TRIAL OF SUMMONS-CASES BY MAGISTRATES,BNSS_2023,
BNSS_2023_CH_XXIV,XXIV,ATTENDANCE OF PERSONS CONFINED OR DETAINED IN PRISONS,BNSS_2023,
BNSS_2023_CH_XXV,XXV,EVIDENCE IN INQUIRIES AND TRIALS,BNSS_2023,
BNSS_2023_CH_XXVI,XXVI,GENERAL PROVISIONS AS TO INQUIRIES AND TRIALS,BNSS_2023,
BNSS_2023_CH_XXVIII,XXVIII,PROVISIONS AS TO OFFENCES AFFECTING THE ADMINISTRATION OF JUSTICE,BNSS_2023,
BNSS_2023_CH_XXX,XXX,SUBMISSION OF DEATH SENTENCES FOR CONFIRMATION,BNSS_2023,
BNSS_2023_CH_XXXI,XXXI,APPEALS,BNSS_2023,
BNSS_2023_CH_XXXII,XXXII,REFERENCE AND REVISION,BNSS_2023,
BNSS_2023_CH_XXXIV,XXXIV,"EXECUTION, SUSPENSION, REMISSION AND COMMUTATION OF SENTENCES",BNSS_2023,
BNSS_2023_CH_XXXV,XXXV,PROVISIONS AS TO BAIL AND BONDS,BNSS_2023,
BNSS_2023_CH_XVII,XVII,"of the Bharatiya Nyaya Sanhita, 2023 or abetment of, or conspiracy or attempt to commit, any such offence,",BNSS_2023,
BNSS_2023_CH_XXXVI,XXXVI,DISPOSAL OF PROPERTY,BNSS_2023,
BNSS_2023_CH_XXXVIII,XXXVIII,LIMITATION FOR TAKING COGNIZANCE OF CERTAIN OFFENCES,BNSS_2023,
BNSS_2023_CH_XXXIX,XXXIX,MISCELLANEOUS,BNSS_2023,
BSA_2023_CH_VII,VII,OF THE BURDEN OF PROOF,BSA_2023,BSA_2023_PART_IV
BSA_2023_CH_VIII,VIII,ESTOPPEL,BSA_2023,BSA_2023_PART_IV
BSA_2023_CH_IX,IX,OF WITNESSES,BSA_2023,BSA_2023_PART_IV
