part_id,part_number,part_title,act_id
BSA_2023_PART_IV,IV,PRODUCTION AND EFFECT OF EVIDENCE,BSA_2023
CONST_1950_PART_I,I,"THE UNION AND ITS TERRITORY Name and territory of the Union. Admission or establishment of new States.  [2A. Sikkim to be associated with the Union.—Omitted.] Formation of new States and alteration of areas, boundaries or  names of existing States. Laws made under articles 2 and 3 to provide for the",CONST_1950
CONST_1950_PART_II,II,CITIZENSHIP Citizenship at the commencement of the Constitution. Rights of citizenship of certain persons who have migrated to  India from Pakistan. Rights of citizenship of certain migrants to Pakistan. Rights of citizenship of certain persons of Indian origin residing  outside India. Persons volun,CONST_1950
CONST_1950_PART_IV,IV,DIRECTIVE PRINCIPLES OF STATE POLICY 36. Definition. 37. Application of the principles contained in this Part. 38. State to secure a social order for the promotion of welfare of the  people. 39. Certain principles of policy to be followed by the State. 39A. Equal justice and free legal aid.,CONST_1950
CONST_1950_PART_V,V,THE UNION THE EXECUTIVE The President and Vice-President 52.  The President of India. 53. Executive power of the Union. 54.  Election of President.,CONST_1950
CONST_1950_PART_VI,VI,THE STATES GENERAL 152. Definition.,CONST_1950
CONST_1950_PART_VIII,VIII,THE UNION TERRITORIES 239. Administration of Union territories. 239A. Creation of local Legislatures or Council of Ministers or both for  certain Union territories. 239AA. Special provisions with respect to Delhi. 239AB. Provision in case of failure of constitutional machinery. 239B. Power of admini,CONST_1950
CONST_1950_PART_IX,IX,THE PANCHAYATS 243.,CONST_1950
CONST_1950_PART_X,X,THE SCHEDULED AND TRIBAL AREAS 244. Administration of Scheduled Areas and Tribal Areas. 244A. Formation of an autonomous State comprising certain tribal  areas in Assam and creation of local Legislature or Council of  Ministers or both therefor.,CONST_1950
CONST_1950_PART_XI,XI,RELATIONS BETWEEN THE UNION AND THE  STATES  LEGISLATIVE RELATIONS Distribution of Legislative Powers 245. Extent of laws made by Parliament and by the Legislatures of  246.  Subject-matter of laws made by Parliament and by the  Legislatures of States. 246A. Special provision with respect to goods a,CONST_1950
CONST_1950_PART_XII,XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS FINANCE  264. 265.  Taxes not to be imposed save by authority of law. 266. Consolidated Funds and public accounts of India and of the  267. Contingency Fund. Distribution of Revenues between the Union and the States 268.  Duties levied by the Union but collecte",CONST_1950
CONST_1950_PART_XIII,XIII,"TRADE, COMMERCE AND INTERCOURSE  WITHIN THE TERRITORY OF INDIA 301. Freedom of trade, commerce and intercourse. 302. Power of Parliament to impose restrictions on trade, commerce  and intercourse. 303. Restrictions on the legislative powers of the Union and of the  States with regard to trade and co",CONST_1950
CONST_1950_PART_XIV,XIV,SERVICES UNDER THE UNION AND THE STATES SERVICES 308.,CONST_1950
CONST_1950_PART_XV,XV,"ELECTIONS  324.  Superintendence, direction and control of elections to be vested  in an Election Commission.  325.  No person to be ineligible for inclusion in, or to claim to be  included in a special, electoral roll on grounds of religion, race,  caste or sex.  326.  Elections to the House of the",CONST_1950
CONST_1950_PART_XVI,XVI,SPECIAL PROVISIONS RELATING TO CERTAIN  CLASSES 330. 330A.  Reservation of seats for Scheduled Castes and Scheduled Tribes  in the House of the People.  Reservation of seats for women in the House of the People.  331. Representation of the Anglo-Indian community in the House of  the People. 332. 332,CONST_1950
CONST_1950_PART_XVII,XVII,OFFICIAL LANGUAGE CHAPTER I.—LANGUAGE OF THE UNION 343. Official language of the Union.  344.  Commission and Committee of Parliament on official language.  REGIONAL LANGUAGES 345. Official language or languages of a State. 346. Official language for communication between one State and  another or b,CONST_1950
CONST_1950_PART_XVIII,XVIII,EMERGENCY PROVISIONS  352.  Proclamation of Emergency.  353.  Effect of Proclamation of Emergency.   354. Application of provisions relating to distribution of revenues  while a Proclamation of Emergency is in operation.  355. Duty of the Union to protect States against external aggression  and inte,CONST_1950
CONST_1950_PART_III,III,during emergencies. [359A. Application of this Part to the State of Punjab. 360. Provisions as to financial emergency. PART XIX MISCELLANEOUS 361. Protection of President and Governors and Rajpramukhs. 361A. Protection of publication of proceedings of Parliament and State  Legislatures. 361B. Disqua,CONST_1950
CONST_1950_PART_XIX,XIX,MISCELLANEOUS 361. Protection of President and Governors and Rajpramukhs. 361A. Protection of publication of proceedings of Parliament and State  Legislatures. 361B. Disqualification for appointment on remunerative political post. [362. Rights and privileges of Rulers of Indian States. 363. Bar to i,CONST_1950
CONST_1950_PART_XX,XX,"AMENDMENT OF THE CONSTITUTION 368. Power of Parliament to amend the Constitution and procedure  therefor.  PART XXI TEMPORARY, TRANSITIONAL AND  SPECIAL PROVISIONS 369. Temporary power to Parliament to make laws with respect to  certain matters in the State List as if they were matters in the  Concu",CONST_1950
CONST_1950_PART_XXI,XXI,"TEMPORARY, TRANSITIONAL AND  SPECIAL PROVISIONS 369. Temporary power to Parliament to make laws with respect to  certain matters in the State List as if they were matters in the  Concurrent List. 370. Temporary provisions with respect to the State of Jammu and  Kashmir. 371. Special provision with r",CONST_1950
CONST_1950_PART_XXII,XXII,"SHORT TITLE, COMMENCEMENT,  AUTHORITATIVE TEXT IN HINDI AND REPEALS  393.  Short title. 394. Commencement. 394A. Authoritative text in the Hindi language. 395. Repeals. SCHEDULES FIRST SCHEDULE  I. —The States. II. —The Union territories. SECOND SCHEDULE PART A—Provisions as to the President and the",CONST_1950
CONST_1950_PART_I,I,"THE UNION AND ITS TERRITORY 1. Name and territory of the Union.—(1) India, that is Bharat,  shall be a Union of States. 1[(2) The States and the territories thereof shall be as specified in  the First Schedule.] (3) The territory of India shall comprise— (a) the territories of the States;  2[(b) the",CONST_1950
CONST_1950_PART_II,II,"CITIZENSHIP  5. Citizenship at the commencement of the Constitution.—At the  commencement of this Constitution, every person who has his domicile in the  territory of India and— (a) who was born in the territory of India; or  (b) either of whose parents was born in the territory of India; or (c) who",CONST_1950
CONST_1950_PART_IV,IV,"DIRECTIVE PRINCIPLES OF STATE POLICY  36. Definition.—In this Part, unless the context otherwise requires, “the  State” has the same meaning as in Part III.  37. Application of the principles contained in this Part.—The  provisions contained in this Part shall not be enforceable by any court, but th",CONST_1950
CONST_1950_PART_V,V,THE UNION CHAPTER I.—THE EXECUTIVE The President and Vice-President 52. The President of India.—There shall be a President of India. 53. Executive power of the Union.—(1) The executive power of the Union  shall be vested in the President and shall be exercised by him either directly or  through offi,CONST_1950
CONST_1950_PART_VI,VI,"THE STATES 1***  CHAPTER I.—GENERAL 152. Definition.—In this Part, unless the context otherwise requires, the  expression “State” 2[does not include the State of Jammu and Kashmir]. CHAPTER II.—THE EXECUTIVE The Governor  153. Governors of States.—There shall be a Governor for each State: 3[Provided",CONST_1950
CONST_1950_PART_VII,VII,[The States in Part B of the First Schedule].,CONST_1950
CONST_1950_PART_VIII,VIII,"1[THE UNION TERRITORIES]  2[239. Administration of Union territories.—(1) Save as otherwise  provided by Parliament by law, every Union territory shall be administered by  the President acting, to such extent as he thinks fit, through an administrator to  be appointed by him with such designation as",CONST_1950
CONST_1950_PART_IX,IX,"THE PANCHAYATS 243. Definitions.—In this Part, unless the context otherwise requires,— (a) “district” means a district in a State; (b) “Gram Sabha” means a body consisting of persons registered in  the electoral rolls relating to a village comprised within the area of  Panchayat at the village level",CONST_1950
CONST_1950_PART_X,X,"THE SCHEDULED AND TRIBAL AREAS 244. Administration of Scheduled Areas and Tribal Areas.—(1) The  provisions of the Fifth Schedule shall apply to the administration and control of  the Scheduled Areas and Scheduled Tribes in any State 1*** other than 2[the  States of Assam, 3[, 4[Meghalaya, Tripura a",CONST_1950
CONST_1950_PART_XI,XI,"RELATIONS BETWEEN THE UNION AND THE STATES  CHAPTER I.—LEGISLATIVE RELATIONS Distribution of Legislative Powers 245. Extent of laws made by Parliament and by the Legislatures of  States.—(1) Subject to the provisions of this Constitution, Parliament may  make laws for the whole or any part of the te",CONST_1950
CONST_1950_PART_XII,XII,"FINANCE, PROPERTY, CONTRACTS AND SUITS CHAPTER I.—FINANCE 1[264. Interpretation.—In this Part, “Finance Commission” means a  Finance Commission constituted under article 280.]  265. Taxes not to be imposed save by authority of law.—No tax shall  be levied or collected except by authority of law. 266",CONST_1950
CONST_1950_PART_XIII,XIII,"TRADE, COMMERCE AND INTERCOURSE WITHIN THE  TERRITORY OF INDIA  301. Freedom of trade, commerce and intercourse.—Subject to the  other provisions of this Part, trade, commerce and intercourse throughout the  territory of India shall be free.  302. Power of Parliament to impose restrictions on trade,",CONST_1950
CONST_1950_PART_XIV,XIV,"SERVICES UNDER THE UNION AND THE STATES CHAPTER I.— SERVICES  308. Interpretation.—In this Part, unless the context otherwise requires,  the expression “State” 1[does not include the State of Jammu and Kashmir]. 309. Recruitment and conditions of service of persons serving the  Union or a State.—Sub",CONST_1950
CONST_1950_PART_XV,XV,"ELECTIONS 324. Superintendence, direction and control of elections to be vested  in an Election Commission.—(1) The superintendence, direction and control  of the preparation of the electoral rolls for, and the conduct of, all elections to  Parliament and to the Legislature of every State and of ele",CONST_1950
CONST_1950_PART_XVI,XVI,SPECIAL PROVISIONS RELATING TO CERTAIN CLASSES 330. Reservation of seats for Scheduled Castes and Scheduled Tribes  in the House of the People.—(1) Seats shall be reserved in the House of the  People for —  (a) the Scheduled Castes; 1[(b) the Scheduled Tribes except the Scheduled Tribes in the  auto,CONST_1950
CONST_1950_PART_XVII,XVII,OFFICIAL LANGUAGE CHAPTER I.—LANGUAGE OF THE UNION 343. Official language of the Union.—(1) The official language of the  Union shall be Hindi in Devanagari script. The form of numerals to be used for the official purposes of the Union  shall be the international form of Indian numerals. (2) Notwith,CONST_1950
CONST_1950_PART_XVIII,XVIII,"EMERGENCY PROVISIONS  352. Proclamation of Emergency.—(1) If the President is satisfied that  a grave emergency exists whereby the security of India or of any part of the  territory thereof is threatened, whether by war or external aggression or 1[armed  rebellion], he may, by Proclamation, make a d",CONST_1950
CONST_1950_PART_XIX,XIX,"MISCELLANEOUS 361. Protection of President and Governors and Rajpramukhs.—(1)  The President, or the Governor or Rajpramukh of a State, shall not be  answerable to any court for the exercise and performance of the powers and  duties of his office or for any act done or purporting to be done by him i",CONST_1950
CONST_1950_PART_XX,XX,"AMENDMENT OF THE CONSTITUTION 368.  1[Power of Parliament to amend the Constitution and  procedure therefor].— 2[(1) Notwithstanding anything in this Constitution,  Parliament may in exercise of its constituent power amend by way of addition,  variation or repeal any provision of this Constitution i",CONST_1950
CONST_1950_PART_XXI,XXI,"1[TEMPORARY, TRANSITIONAL AND  SPECIAL PROVISIONS]  369. Temporary power to Parliament to make laws with respect to  certain matters in the State List as if they were matters in the Concurrent  List.—Notwithstanding anything in this Constitution, Parliament shall, during  a period of five years from",CONST_1950
