file,status,page_count,text_extractable,first_chars
A_Ayyasamy_vs_A_Paramasivam_Ors_on_4_October_2016_1.PDF,ok,23,True,"A. Ayyasamy vs A. Paramasivam & Ors on 4 October, 2016
Equivalent citations: AIR 2016 SUPREME COURT "
A_Sivaprakash_vs_State_Of_Kerala_on_10_May_2016_1.PDF,ok,7,True,"A. Sivaprakash vs State Of Kerala on 10 May, 2016
Equivalent citations: AIR 2016 SC 2287, 2016 (12) "
Afcons_Infrastructure_Ltd_vs_Nagpur_Metro_Rail_Corporation_Ltd_Anr_on_15_September_2016_1.PDF,ok,6,True,"Afcons Infrastructure Ltd vs Nagpur Metro Rail Corporation Ltd.
& Anr on 15 September, 2016
Equivale"
Ahmedabad_Municipal_Corporation_vs_Gtl_Infra_Ltd_Ors_Etc_on_16_December_2016_1.PDF,ok,13,True,"Ahmedabad Municipal Corporation vs Gtl Infra. Ltd. & Ors. Etc
on 16 December, 2016
Equivalent citati"
Air_Customs_Officer_Igi_New_Delhi_vs_Pramod_Kumar_Dhamija_on_15_February_2016_1.PDF,ok,7,True,"Air Customs Officer Igi New Delhi vs Pramod Kumar Dhamija on
15 February, 2016
Equivalent citations:"
Ajay_Arjun_Singh_vs_Sharadendu_Tiwari_And_Ors_on_15_March_2016_1.PDF,ok,19,True,"Ajay Arjun Singh vs Sharadendu Tiwari And Ors on 15 March,
2016
Equivalent citations: AIR 2016 SUPRE"
Ajay_Kumar_Singh_vs_Flag_Officer_Commanding_Ors_on_13_July_2016_1.PDF,ok,9,True,"Ajay Kumar Singh vs Flag Officer Commanding & Ors on 13
July, 2016
Equivalent citations: AIR 2016 SU"
Alagaapuram_R_Mohanraj_And_Ors_vs_Tamil_Nadu_Legislative_Assembly_Rep_By_on_12_February_2016_1.PDF,ok,16,True,"Alagaapuram R. Mohanraj And Ors vs Tamil Nadu Legislative
Assembly Rep. By ... on 12 February, 2016
"
Aligarh_Devt_Auth_vs_Megh_Singh_Ors_on_5_May_2016_1.PDF,ok,3,True,"Aligarh Devt.Auth vs Megh Singh & Ors on 5 May, 2016
Equivalent citations: 2017 (1) ALJ 493, 2016 (1"
All_India_Power_Engineer_Federation_vs_Sasan_Power_Ltd_Ors_Etc_on_8_December_2016_1.PDF,ok,30,True,"All India Power Engineer Federation & ... vs Sasan Power Ltd. &
Ors. Etc on 8 December, 2016
Equival"
Amal_Kumar_Jha_vs_State_Of_Chhatisgarh_Anr_on_26_April_2016_1.PDF,ok,10,True,"Amal Kumar Jha vs State Of Chhatisgarh & Anr on 26 April, 2016
Equivalent citations: AIR 2016 SUPREM"
Amandeep_Goyal_vs_Yogesh_Rani_on_29_August_2016_1.PDF,ok,2,True,"Amandeep Goyal vs Yogesh Rani on 29 August, 2016
Equivalent citations: AIR 2016 SUPREME COURT 4833, "
Amanullah_Anr_vs_State_Of_Bihar_Ors_on_12_April_2016_1.PDF,ok,14,True,"Amanullah & Anr vs State Of Bihar & Ors on 12 April, 2016
Equivalent citations: (2016) 2 UC 957, AIR"
Amarsang_Nathaji_As_Himself_And_As_Karta_vs_Hardik_Harshadbhai_Patel_And_Ors_on_23_November_2016_1.PDF,ok,6,True,"Amarsang Nathaji As Himself And As Karta ... vs Hardik
Harshadbhai Patel And Ors on 23 November, 201"
Anant_Prakash_Sinha_Anant_Sinha_vs_State_Of_Haryana_And_Anr_on_4_March_2016_1.PDF,ok,11,True,"Anant Prakash Sinha @ Anant Sinha vs State Of Haryana And
Anr on 4 March, 2016
Equivalent citations:"
Ananthesh_Bhakta_Reptd_By_Moter_Usha_A_vs_Nayana_S_Bhakta_And_Ors_on_15_November_2016_1.PDF,ok,11,True,"Ananthesh Bhakta Reptd. By Moter Usha A ... vs Nayana S.
Bhakta And Ors on 15 November, 2016
Equival"
