from_section_id,to_section_id,context,reference_type,target_act_id
BNS_2023_s1,BNS_2023_s106,"1st day of July, 2024, except the provision of sub-section (2) of section 106, vide notification No. S.O. 850(E), dated, 23rd",see_also,BNS_2023
BNS_2023_s1,BNS_2023_s2,have the meaning assigned to it in clause (k) of section 2 of  the Transgender Persons (Protection of Rights,see_also,BNS_2023
BNS_2023_s1,BNS_2023_s3,"of a local authority as defined in clause (31) of section 3 of  the General Clauses Act, 1897 (10 of 1897), a",see_also,BNS_2023
BNS_2023_s1,BNS_2023_s2,"a Government company as defined in clause (45) of section 2 of  the Companies Act, 2013 (18 of 2013).  Explan",see_also,BNS_2023
BNS_2023_s5,BNS_2023_s474,"nhita to any other punishment in accordance  with section 474 of the Bharatiya Nagarik Suraksha Sanhita, 2023.",see_also,BNS_2023
BNS_2023_s5,BNSS_2023_s474,"nhita to any other punishment in accordance  with section 474 of the Bharatiya Nagarik Suraksha Sanhita, 2023.  Explanation.—For the purposes of this sec",cross_act,BNSS_2023
BNS_2023_s35,BNS_2023_s37,"right, subject to the  restrictions contained in section 37, to defend—  (a) his own body, and the body of an",see_also,BNS_2023
BNS_2023_s38,BNS_2023_s37,"body extends, under the restrictions specified in section 37, to the voluntary causing of  death or of any oth",see_also,BNS_2023
BNS_2023_s39,BNS_2023_s38,"e be not of any  of the descriptions specified in section 38, the right of private defence of the body does no",see_also,BNS_2023
BNS_2023_s39,BNS_2023_s37,"does extend, under the restrictions specified in section 37,  to the voluntary causing to the assailant of an",see_also,BNS_2023
BNS_2023_s41,BNS_2023_s37,"erty extends, under the restrictions specified in section 37, to the voluntary causing of  death or of any oth",see_also,BNS_2023
BNS_2023_s42,BNS_2023_s41,"pass, not of any of the descriptions specified in section 41, that  right does not extend to the voluntary cau",see_also,BNS_2023
BNS_2023_s42,BNS_2023_s37,"extend, subject to the restrictions  specified in section 37, to the voluntary causing to the wrong-doer of an",see_also,BNS_2023
BNS_2023_s52,BNS_2023_s51,"If the act  for which the abettor is liable under section 51 is committed in addition to the act abetted, and",see_also,BNS_2023
BNS_2023_s66,BNS_2023_s64,ts an offence punishable under sub-section (1) or sub-section (2) of section 64 and in the  course of such commission inflicts an,see_also,BNS_2023
BNS_2023_s67,BNS_2023_s63,y of the acts mentioned in  clauses (a) to (d) of section 63.,see_also,BNS_2023
BNS_2023_s73,BNS_2023_s72,Court with respect to an  offence referred to in section 72 without the previous permission of such Court sha,see_also,BNS_2023
BNS_2023_s80,BNS_2023_s2,"ction, “dowry” shall have the same meaning as in  section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).",see_also,BNS_2023
BNS_2023_s86,BNS_2023_s85,"Cruelty defined.—For the purposes of section 85, “cruelty” means—  (a) any wilful conduct which i",see_also,BNS_2023
BNS_2023_s89,BNS_2023_s88,"man’s consent.—Whoever commits the offence under  section 88 without the consent of the woman, whether the wom",see_also,BNS_2023
BNS_2023_s99,BNS_2023_s98,“Illicit intercourse” has the same meaning as in section 98.  CHAPTER VI  OF OFFENCES AFFECTING THE HUMAN BOD,see_also,BNS_2023
BNS_2023_s115,BNS_2023_s122,"(2) Whoever, except in the case provided for by sub-section (1) of section 122 voluntarily causes  hurt, shall be punished with",see_also,BNS_2023
BNS_2023_s117,BNS_2023_s122,"(2) Whoever, except in the case provided for by sub-section (2) of section 122, voluntarily causes  grievous hurt, shall be puni",see_also,BNS_2023
BNS_2023_s118,BNS_2023_s122,"—(1) Whoever,  except in the case provided for by sub-section (1) of section 122, voluntarily causes hurt by means of any  instrum",see_also,BNS_2023
BNS_2023_s118,BNS_2023_s122,"(2) Whoever, except in the case provided for by sub-section (2) of section 122, voluntarily causes  grievous hurt by any means r",see_also,BNS_2023
BNS_2023_s122,BNS_2023_s101,is subject to the same proviso as Exception 1 of section 101.,see_also,BNS_2023
BNS_2023_s136,BNS_2023_s131,"his section is subject to the same Explanation as section 131.  Of kidnapping, abduction, slavery and forced la",see_also,BNS_2023
BNS_2023_s148,BNS_2023_s147,Conspiracy to commit offences punishable by section 147.—Whoever within or without and  beyond India cons,see_also,BNS_2023
BNS_2023_s148,BNS_2023_s147,"pires to commit any of the offences punishable by section 147, or conspires to  overawe, by means of criminal f",see_also,BNS_2023
BNS_2023_s178,BNS_2023_s2,"shall have the same meaning as assigned to it in section 2 of the Coinage Act, 2011  (11 of 2011) and includ",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s173,"ails to record any information given to him under sub-section (1) of section 173 of the  Bharatiya Nagarik Suraksha Sanhita, 2023",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s64,"relation to cognizable offence punishable under  section 64, section 65, section 66, section 67, section 68,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s65,"cognizable offence punishable under  section 64, section 65, section 66, section 67, section 68, section 70,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s66,"offence punishable under  section 64, section 65, section 66, section 67, section 68, section 70, section 71,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s67,"shable under  section 64, section 65, section 66, section 67, section 68, section 70, section 71, section 74,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s68,"section 64, section 65, section 66, section 67, section 68, section 70, section 71, section 74,  section 76,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s70,", section 65, section 66, section 67, section 68, section 70, section 71, section 74,  section 76, section 77,",see_also,BNS_2023
BNS_2023_s199,BNS_2023_s71,", section 66, section 67, section 68, section 70, section 71, section 74,  section 76, section 77, section 79,",see_also,BNS_2023
