ipc_section,bns_section,notes
1,1,Title and extent of operation of the Code
2,1(3),Punishment of offences committed within India
3,1(4),"Punishment of offences committed beyond, but which by law may be tried within, India"
4,1(5),Extension of Code to extraterritorial offences
5,1(6),Certain laws not to be affected by this Act
6,3,Definitions in the Code to be understood subject to exceptions
7,Repealed in BNS,Sense of expression once explained
8,2(10),Gender
9,2(22),Number
10,2(19),"“Man”, “Woman”"
11,2(35),“Person”
12,2(26),“Public”
13,2(27),Repealed
14,2(28),“Servant of Government”
15,Repealed in BNS,Repealed
16,Repealed in BNS,Repealed
17,2(12),“Government”
18,Repealed in BNS,“India”
19,2(16),“Judge”
20,2(5),“Court of Justice”
21,2(28),“Public servant”
22,2(21),“Movable property”
23,Repealed in BNS,“Wrongful gain”
24,2(7),Dishonesty
25,2(9),“Fraudulently”
26,2(29),“Reason to believe”
27,Repealed in BNS,"Property in possession of wife, clerk or servant"
28,2(4),“Counterfeit”
29,2(8),“Document”
29A,2(39),“Electronic record”
30,2(31),“Valuable security”
31,2(34),“A will”
32,2(1),Words referring to acts include illegal omissions
33,2(1),"“Act”, “Omission”"
34,3(5),Acts done by several persons in furtherance of common intention
35,3(6),When such an act is criminal by reason of its being done with a criminal knowledge or intention
36,3(7),Effect caused partly by act and partly by omission
37,3(8),Cooperation by doing one of several acts constituting an offence
38,3(9),Persons concerned in criminal act may be guilty of different offences
39,2(33),“Voluntarily”
40,2(24),“Offence”
41,2(30),“Special law”
42,2(18),“Local law”
43,2(15),"“Illegal”, “Legally bound to do”"
48,2(32),“Vessel”
49,2(20),"“Year”, “Month”"
50,Repealed in BNS,“Section”
51,2(23),“Oath”
52,2(11),“Good faith”
52A,2(13),“Harbour”
53,4,Punishments
53A,Repealed in BNS,Construction of reference to transportation
54,5,Commutation of sentence of death
55,5,Commutation of sentence of imprisonment for life
55A,5,Definition of “appropriate Government”
56,Repealed in BNS,Sentence of Europeans and Americans to penal servitude. Proviso as to sentence for term exceeding ten years but not for life
57,6,Fractions of terms of punishment
58,Repealed in BNS,(Repealed) Offenders sentenced to transportation how dealt with until transported
59,Repealed in BNS,(Repealed) Transportation instead of imprisonment
60,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
61,Repealed in BNS,(Repealed) Sentence of forfeiture of property
62,Repealed in BNS,"(Repealed) Forfeiture of property in respect of offenders punishable with death, transportation or imprisonment"
63,8,Amount of fine
64,8,Sentence of imprisonment for nonpayment of fine
65,8(3),"Limit to imprisonment for nonpayment of fine, when imprisonment and fine awardable"
66,"8(4), (5)",Description of imprisonment for nonpayment of fine
67,8(5),Imprisonment for nonpayment of fine when offence punishable with fine only
